OBJECTID,Name,Type,x,y
422,Agrowisata Bukit Bugisan,alam,445467.0006,9144397.137
423,Susur Sungai Opak,budaya,431497.1029,9127998.487
424,Candi Banyunibo,budaya,431497.1029,9127998.487
425,Candi Barong,budaya,444213.4524,9140214.277
426,Situs Ratu Boko,budaya,443341.3438,9141031.686
427,Candi Dawangsari,budaya,444597.0412,9140643.984
428,Candi Gupolo,budaya,444673.2293,9139345.201
429,Candi Gana,budaya,444439.8225,9143973.138
430,Candi Sojiwan,budaya,444183.7384,9142105.335
431,Candi Kalasan,budaya,441818.6108,9141396.614
432,Candi Kedulan,budaya,441524.2558,9144125.685
433,Candi Sari,budaya,442025.1475,9142029.312
434,Taman Wisata Candi Prambanan,buatan,443926.0647,9143082.926
436,Gondang Winangoen/Baru Sugar Mill,buatan,451614.2043,9146498.414
437,Gang soka Kotagede,budaya,433451.7555,9134499.751
438,Between Two Gates,budaya,433750.5578,9134344.691
439,Gilang Stone & Gatheng Stone,budaya,433759.4666,9134213.119
440,Situs Samberan,budaya,408014.3749,9162462.669
